name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans,impute_expectation_maximization,impute_soft_imputer,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_gain,impute_vae,impute_mlp
abalone,'Length',4177.0,0.4972,0.0619,0.075,0.815,0.5269,0.55,0.1192,-0.6623,0.1501,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4934,0.0056,MLP,0.1598082999027164,0.16235263776009212,0.16345701968587983,0.15437453606116777,0.15944528315790024,0.16800749601518453,0.17543645681475034,0.17511074608397426,0.17071144630750448,0.16235263776009212,0.1659071135898299,0.16778905784487727,0.16945462721353596,0.1679368436115543,0.1674598388701356,0.16192145075447154,0.1692128155532979,0.16479075179635755
abalone,'Length',4177.0,0.4972,0.0619,0.075,0.815,0.5269,0.55,0.1192,-0.6623,0.1501,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4934,0.0056,TabNet,0.1429143857044535,0.15514016643097514,0.15337662355186513,0.13498472560295546,0.15291985122647822,0.16011198405059687,0.17121115887425292,0.15881891273536838,0.16430245035879126,0.15514016643097514,0.15929013507304138,0.16126301445529198,0.1595482502787507,0.15994069239942454,0.15973378604309962,0.1523423996180452,0.15322496961555954,0.15877521246291215
abalone,'Length',4177.0,0.4573,0.0565,0.11,0.8,0.5241,0.54,0.1184,-0.6371,0.1243,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4884,0.0055,MLP,0.1539275229920846,0.1739110550104145,0.17293345495501006,0.17613406842478416,0.16533407896742627,0.17591067062072122,0.18074579660877615,0.1839966465443064,0.17305768774582603,0.1739110550104145,0.175736089556651,0.17294237861559708,0.17485840153720356,0.17781114394094605,0.1730518794759156,0.17583141835664645,0.18045136792830485,0.18008723097335685
abalone,'Length',4177.0,0.4573,0.0565,0.11,0.8,0.5241,0.54,0.1184,-0.6371,0.1243,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4884,0.0055,TabNet,0.17067370950936228,0.15223595069576218,0.16031136140373944,0.1757073594946567,0.16920841587645824,0.17007485419108226,0.15726768833960877,0.16109755826100866,0.15800827049705418,0.15223595069576218,0.17492186664937814,0.17250068492353646,0.17247137201225055,0.17356546587330227,0.16904854749730888,0.1709150885697242,0.1747832865734714,0.17428254040092747
abalone,'Length',4177.0,0.3986,0.0525,0.075,0.815,0.5246,0.545,0.1205,-0.6509,0.0361,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5029,0.0055,MLP,0.17112035585007287,0.1925471072865687,0.18895430743310804,0.1720733785874505,0.19656111687009603,0.18600903022246323,0.18966645435878518,0.189808968047453,0.18428028303839183,0.1925471072865687,0.185817422611509,0.18736186437945762,0.18365869132341786,0.1878429297975291,0.18662757060614396,0.18639859521224475,0.18203554683159323,0.18605429178095842
abalone,'Length',4177.0,0.3986,0.0525,0.075,0.815,0.5246,0.545,0.1205,-0.6509,0.0361,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5029,0.0055,TabNet,0.19668277365420536,0.17731332119193943,0.17566554024321485,0.1726520701185279,0.1845083082494905,0.17290887760019785,0.16413055004834953,0.17400335409002182,0.16960398393795675,0.17731332119193943,0.1738153210861111,0.17641478007866854,0.16840261861079306,0.1732461543042692,0.17629481676952188,0.1558569758825515,0.18013171499773248,0.16858765545052717
abalone,'Length',4177.0,0.3582,0.0496,0.075,0.8,0.5228,0.54,0.121,-0.6539,0.1345,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5101,0.0054,MLP,0.17287728652086198,0.1872790392190068,0.18480991469810676,0.17468903808563768,0.18648321172162913,0.18805794699415407,0.19550269329294181,0.19577420123286823,0.19069045632693365,0.1872790392190068,0.18715459275772736,0.18593608867554198,0.18664798592370824,0.1866554973597553,0.18819163298088024,0.1849956334935904,0.1804309360368766,0.18692680907642412
abalone,'Length',4177.0,0.3582,0.0496,0.075,0.8,0.5228,0.54,0.121,-0.6539,0.1345,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5101,0.0054,TabNet,0.19211635561888274,0.18443241120807258,0.17314085829819656,0.17744977004067775,0.1801162843615534,0.18320616716511073,0.17018232499603728,0.1868071903606738,0.17847291147076766,0.18443241120807258,0.18551342725165573,0.1805073855280357,0.17987719910470124,0.18254737327960743,0.18515614166792393,0.18447900618407304,0.1685240957459293,0.18362679016879146
abalone,'Length',4177.0,0.293,0.045,0.075,0.815,0.5255,0.545,0.1202,-0.6521,0.0964,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5114,0.0054,MLP,0.17383460420878538,0.19402177851813496,0.19415860981362654,0.1815802481503869,0.19297386983125772,0.191070654980866,0.1949664853773007,0.19684451666233793,0.19433730404450478,0.19402177851813496,0.18603375470252756,0.1840036588202892,0.19183090700592184,0.18701508733857716,0.18177518796423156,0.18110786267789653,0.1836686009351064,0.18972474671555084
abalone,'Length',4177.0,0.293,0.045,0.075,0.815,0.5255,0.545,0.1202,-0.6521,0.0964,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5114,0.0054,TabNet,0.18005936860825086,0.19140798322337843,0.1819391873186468,0.1828953407256356,0.19262584449389197,0.18245975304713274,0.1917419426262819,0.1893893375984917,0.18246213691300306,0.19140798322337843,0.1795258833008767,0.1769341500984428,0.1839724902622178,0.18075238337425892,0.1796824445266332,0.1718706393028707,0.1689399370501919,0.18014865699663082
abalone,'Length',4177.0,0.2621,0.0428,0.075,0.815,0.5254,0.545,0.1193,-0.6346,0.1021,0.08,0.1637,0.0,0.0,0.0,0.0,0.0,0.0,4.5055,0.0053,MLP,0.19283640828345983,0.18772795950050516,0.1933013391506328,0.1969587818065936,0.19826124502975379,0.20041613302128972,0.20748900547763802,0.20700236955354423,0.20188676475336073,0.18772795950050516,0.19966360231278688,0.1978371520928615,0.19919904207969152,0.1997800699869567,0.20039033408135226,0.19232871702428078,0.19365038913226038,0.20024235533021376
abalone,'Length',4177.0,0.2621,0.0428,0.075,0.815,0.5254,0.545,0.1193,-0.6346,0.1021,0.08,0.1637,0.0,0.0,0.0,0.0,0.0,0.0,4.5055,0.0053,TabNet,0.2041628319672256,0.1816655019204288,0.17519137808408475,0.18587018133652886,0.18988320683455892,0.18011927817089046,0.17864223937681983,0.18434254349307078,0.18835722789960793,0.1816655019204288,0.17640043147820617,0.18093196579424986,0.1785772727382114,0.181569882196903,0.1738691359843204,0.17478714509154117,0.1749677721548591,0.17872177109395118
abalone,'Length',4177.0,0.1992,0.0398,0.075,0.815,0.5231,0.545,0.1212,-0.6445,0.0397,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5199,0.0055,MLP,0.20814043641479296,0.20361930572441306,0.19858005147593932,0.18795515875525803,0.2024163837981975,0.20323296846963546,0.2009301206666014,0.2050897908665406,0.20344157798935097,0.20361930572441306,0.19759346479555961,0.20023639545940702,0.19857471376467545,0.19827523550555246,0.19746825463343665,0.19869210282397626,0.2048940034089051,0.20085538285993912
abalone,'Length',4177.0,0.1992,0.0398,0.075,0.815,0.5231,0.545,0.1212,-0.6445,0.0397,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5199,0.0055,TabNet,0.19678357933416568,0.1951347695703676,0.19328455934200403,0.1949369284704269,0.19476310859319854,0.18989295062597172,0.19814186312811408,0.19588617845793171,0.2061849745614382,0.1951347695703676,0.19079590281770997,0.19813503269426447,0.19749028701714005,0.19831475883555394,0.19045637826725195,0.19877934533794142,0.18895725379885217,0.1972711461228217
abalone,'Length',4177.0,0.1506,0.0378,0.075,0.815,0.5229,0.545,0.1209,-0.6427,0.0679,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.523,0.0054,MLP,0.20982508003479308,0.21308978765452835,0.212964042831685,0.20655770835048554,0.21189407340804273,0.20825497248515293,0.2130104602536992,0.21323366983286082,0.20948428805379032,0.21308978765452835,0.20883884102588932,0.2088801791969126,0.2090326005258651,0.2081455776478246,0.20849924740243728,0.20872271269092152,0.20797009729557464,0.2088178303264129
abalone,'Length',4177.0,0.1506,0.0378,0.075,0.815,0.5229,0.545,0.1209,-0.6427,0.0679,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.523,0.0054,TabNet,0.20980681559582243,0.1980488234851728,0.20269782979788714,0.2040711031447888,0.21379531839821822,0.20713036547392027,0.20406529604399679,0.20525542360844637,0.19569643728013092,0.1980488234851728,0.2027791021639245,0.20521275716346604,0.20347939772987073,0.2077527602521835,0.2079020939013531,0.21158040577114384,0.20254000323135116,0.20819985365175703
